doc_id,doc_type,doc_date,doc_name,plan_desc,physical_index,date_edited,has_water,has_sewer,has_drainage,has_easement,has_street,has_utilities,has_addressing,is_as_built,needs_rescan,needs_delete,water_size,water_material,sewer_size,sewer_material,server_location
1373,Construction,7/1/1960,,City of Paris + Zoned Parking,K-11,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,,
1374,Construction,7/1/1960,,City of Paris + Fire Lane and Traffic Sign Map,K-12,,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,,
1375,Construction,7/1/1960,,City of Paris + Signal Its. & 1-way Streets,K-13,,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,,
1376,Construction,7/1/1960,,City of Paris + Prop. Future Arterial/1-Way,K-15,,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,,
1377,Construction,,,East Paris School + Proposed 1-way Street,K-16,,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,,
1378,Construction,8/9/1960,,#NAME?,K-17,,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,,
1379,Construction,1/18/1962,,Serve Superior Company + Proposed,K-19,,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,,
1380,Construction,,,City Clerks Office + Building Plans,K-21,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,,
1381,Construction,3/20/1962,,"""Campbell Soup + 20"""" Tap/Water Meter Connect""",K-22,,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,,
1382,Construction,4/14/1962,,Plaza + Proposed Improvements,K-23,,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,,
1383,Construction,,,#NAME?,K-25,,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,,
1384,Construction,,,Westwood Addition + Plat,K-26,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,,
1385,Construction,5/1/1967,,Hangars + Plat,K-27,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,,
1386,Construction,12/8/1964,,City of Paris + Plat - adjacent to 1st National Bank,K-28,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,,
1387,Construction,,,#NAME?,K-29,,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,,
